 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481042137.5 177.45 0.165 0.0087  32.04 0.0025   1.41 -0.41
   5.9  567.10  562.50 842005.5 178.40 0.187 0.0043 117.89 0.0012  50.04 -0.65
   8.4  567.06  562.53 637058.6 177.00 0.208 0.0013   3.75 0.0037  41.44 -0.89
  11.5  567.07  562.49 458226.5 176.26 0.210 0.0003  87.60 0.0062  47.41 -1.10
  15.5  567.08  562.51 323003.1 176.63 0.211 0.0009  13.74 0.0042  44.59 -1.24
  20.5  567.08  562.52 227320.3 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 158191.6 176.72 0.213 0.0007  46.99 0.0025  44.66 -1.47
  34.0  567.10  562.46 109562.4 176.90 0.214 0.0017  19.54 0.0039  47.30 -1.56
  42.8  567.00  562.46  77060.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.59
  53.1  566.97  562.38  54487.3 176.59 0.219 0.0016 107.25 0.0026  37.67 -1.67
  65.3  566.89  562.11  38494.2 176.72 0.216 0.0047 107.36 0.0015  43.86 -1.75
  79.5  567.00  562.15  27272.5 177.37 0.210 0.0039  20.80 0.0045  47.35 -1.82
  95.8  567.02  562.22  19479.8 177.35 0.208 0.0008  29.10 0.0043  47.42 -1.85
 114.5  567.09  562.43  14100.5 177.43 0.204 0.0045  69.15 0.0050  48.09 -1.86
 135.9  567.23  562.36  10296.0 177.42 0.198 0.0021 106.57 0.0038  46.37 -1.89
 160.1  567.28  562.37   7584.9 177.54 0.198 0.0022  27.86 0.0045  49.76 -1.95
 187.4  567.41  562.36   5536.8 177.13 0.195 0.0035  76.57 0.0024  82.31 -2.08
 218.1  567.30  562.07   4019.9 177.41 0.189 0.0085  85.35 0.0023  71.51 -2.19
 252.3  567.67  560.89   2918.2 177.95 0.187 0.0134  89.83 0.0050  60.56 -2.32
 290.5  567.85  560.73   2073.4 177.94 0.176 0.0138  76.55 0.0047  45.29 -2.53
 332.8  569.75  563.41   1466.6 176.83 0.177 0.0154  58.90 0.0121  56.82 -2.64
 379.7  570.50  559.62   1034.9 176.20 0.179 0.0017  78.69 0.0088  57.27 -2.90
 431.2  568.77  560.31    688.7 175.93 0.173 0.0058 104.59 0.0128   9.36 -3.31
 487.9  568.65  553.49    463.1 171.21 0.173 0.0113  20.74 0.0051  49.54 -4.10
 550.0  567.44  544.44    226.3 170.80 0.151 0.0681  19.19 0.0856  53.15 -9.27
