 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481042537.0 177.45 0.165 0.0087  32.04 0.0025   1.41 -0.41
   5.9  567.10  562.50 842403.8 178.40 0.187 0.0043 117.89 0.0012  50.05 -0.65
   8.4  567.06  562.53 637459.8 177.00 0.208 0.0013   3.75 0.0037  41.43 -0.89
  11.5  567.07  562.49 458626.3 176.26 0.210 0.0003  87.60 0.0062  47.41 -1.10
  15.5  567.08  562.51 323403.1 176.63 0.211 0.0009  13.74 0.0042  44.59 -1.23
  20.5  567.08  562.52 227720.3 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 158591.6 176.72 0.213 0.0007  47.00 0.0025  44.66 -1.47
  34.0  567.10  562.46 109962.4 176.90 0.214 0.0017  19.54 0.0039  47.30 -1.55
  42.8  567.00  562.46  77460.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.59
  53.1  566.97  562.38  54887.3 176.59 0.219 0.0016 107.25 0.0026  37.67 -1.66
  65.3  566.89  562.11  38894.3 176.72 0.216 0.0046 107.36 0.0015  43.86 -1.74
  79.5  567.00  562.15  27672.5 177.37 0.210 0.0038  20.80 0.0045  47.35 -1.79
  95.8  567.02  562.22  19879.9 177.35 0.208 0.0008  29.10 0.0043  47.42 -1.81
 114.5  567.10  562.38  14489.0 177.44 0.204 0.0039  69.55 0.0056  48.28 -1.81
 135.9  567.23  562.36  10696.1 177.42 0.198 0.0021 106.57 0.0037  46.37 -1.81
 160.1  567.28  562.37   7985.0 177.54 0.198 0.0021  27.86 0.0043  49.76 -1.85
 187.4  567.38  562.39   5938.2 177.16 0.195 0.0023  75.10 0.0024  63.07 -1.94
 218.1  567.41  561.99   4415.3 177.25 0.189 0.0073  88.74 0.0040  71.62 -2.00
 252.3  567.84  561.01   3311.3 178.01 0.187 0.0120  92.63 0.0031  57.91 -2.06
 290.5  567.89  560.99   2461.0 177.88 0.175 0.0168  77.33 0.0063  40.58 -2.13
 332.8  569.47  561.15   1860.8 177.36 0.170 0.0042  75.64 0.0144  52.71 -2.08
 379.7  569.23  561.19   1422.0 177.29 0.177 0.0132  65.12 0.0091  60.76 -2.10
 431.2  569.61  558.90   1087.7 172.71 0.170 0.0075  16.47 0.0125  12.78 -2.15
 487.9  571.35  552.10    833.9 173.40 0.157 0.0146 110.59 0.0059  84.97 -2.12
 550.0  564.09  542.82    657.7 171.75 0.169 0.0172  28.25 0.0094  72.55 -2.37
