 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481043132.5 177.45 0.165 0.0087  32.05 0.0025   1.40 -0.41
   5.9  567.10  562.50 843004.2 178.40 0.187 0.0043 117.89 0.0012  50.04 -0.65
   8.4  567.06  562.53 638060.1 177.00 0.208 0.0013   3.75 0.0037  41.43 -0.89
  11.5  567.07  562.49 459226.5 176.26 0.210 0.0003  87.59 0.0062  47.42 -1.10
  15.5  567.08  562.51 324003.1 176.63 0.211 0.0009  13.74 0.0042  44.59 -1.23
  20.5  567.08  562.52 228320.3 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 159191.6 176.72 0.213 0.0007  46.99 0.0025  44.66 -1.46
  34.0  567.10  562.46 110562.4 176.90 0.214 0.0016  19.54 0.0039  47.30 -1.54
  42.8  567.00  562.46  78060.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.57
  53.1  566.97  562.38  55487.4 176.59 0.219 0.0016 107.25 0.0025  37.67 -1.64
  65.3  566.89  562.11  39494.3 176.72 0.216 0.0045 107.36 0.0015  43.86 -1.71
  79.5  566.99  562.15  28269.0 177.39 0.210 0.0036  21.17 0.0043  47.43 -1.75
  95.8  567.02  562.22  20479.9 177.35 0.208 0.0008  29.10 0.0041  47.42 -1.76
 114.5  567.09  562.45  15107.0 177.44 0.205 0.0045  69.32 0.0044  47.61 -1.74
 135.9  567.24  562.38  11285.7 177.49 0.198 0.0019 107.50 0.0036  45.20 -1.72
 160.1  567.28  562.37   8585.0 177.54 0.198 0.0020  27.89 0.0040  49.78 -1.72
 187.4  567.40  562.40   6538.3 177.13 0.195 0.0026  77.10 0.0018  77.06 -1.77
 218.1  567.59  562.30   5009.6 177.67 0.189 0.0075  94.53 0.0032  13.62 -1.76
 252.3  567.40  560.72   3910.4 177.80 0.186 0.0075  90.74 0.0023  44.44 -1.73
 290.5  567.84  560.94   3066.6 177.99 0.175 0.0131  75.13 0.0048  34.49 -1.70
 332.8  569.57  561.57   2466.6 176.13 0.175 0.0060  80.11 0.0069  46.54 -1.55
 379.7  569.68  560.20   2043.3 175.98 0.181 0.0015  54.17 0.0043  61.29 -1.48
 431.2  569.16  558.63   1684.2 174.37 0.170 0.0070  43.72 0.0051  69.53 -1.45
 487.9  568.84  550.39   1431.4 172.73 0.161 0.0063   5.15 0.0102  54.12 -1.17
 550.0  561.72  532.69   1278.2 172.17 0.190 0.0276   3.42 0.0155  72.50 -1.06
