 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481042635.8 177.45 0.165 0.0087  32.04 0.0025   1.40 -0.41
   5.9  567.10  562.50 842503.8 178.40 0.187 0.0043 117.89 0.0012  50.05 -0.65
   8.4  567.06  562.53 637560.3 177.00 0.208 0.0013   3.75 0.0037  41.43 -0.89
  11.5  567.07  562.49 458726.3 176.26 0.210 0.0003  87.60 0.0062  47.41 -1.10
  15.5  567.08  562.51 323503.0 176.63 0.211 0.0009  13.72 0.0042  44.59 -1.23
  20.5  567.08  562.52 227820.3 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 158691.6 176.72 0.213 0.0007  46.99 0.0025  44.66 -1.47
  34.0  567.10  562.46 110062.4 176.90 0.214 0.0017  19.54 0.0039  47.30 -1.55
  42.8  567.00  562.46  77560.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.58
  53.1  566.97  562.38  54987.4 176.59 0.219 0.0016 107.25 0.0026  37.67 -1.65
  65.3  566.89  562.11  38994.3 176.72 0.216 0.0046 107.36 0.0015  43.86 -1.73
  79.5  567.00  562.15  27772.5 177.37 0.210 0.0038  20.80 0.0044  47.35 -1.78
  95.8  567.02  562.22  19979.9 177.35 0.208 0.0008  29.10 0.0042  47.42 -1.80
 114.5  567.10  562.44  14607.8 177.46 0.205 0.0048  69.01 0.0047  47.92 -1.80
 135.9  567.23  562.36  10796.1 177.42 0.198 0.0020 106.59 0.0037  46.37 -1.80
 160.1  567.28  562.37   8085.0 177.54 0.198 0.0021  27.86 0.0043  49.76 -1.83
 187.4  567.41  562.49   6041.3 177.18 0.196 0.0031  75.46 0.0026  80.61 -1.91
 218.1  567.60  562.23   4511.5 177.65 0.189 0.0088  94.51 0.0031  11.77 -1.96
 252.3  567.89  561.12   3412.7 178.06 0.189 0.0110  94.70 0.0027  52.10 -1.98
 290.5  567.62  560.67   2571.9 177.97 0.175 0.0129  77.46 0.0047  45.24 -2.04
 332.8  568.85  562.10   1955.9 178.52 0.172 0.0071  69.73 0.0162  47.19 -2.00
 379.7  569.69  558.83   1524.2 176.38 0.177 0.0137  70.47 0.0084  61.94 -1.96
 431.2  569.46  558.38   1182.5 175.05 0.167 0.0052  38.30 0.0075  82.74 -1.96
 487.9  569.83  550.37    943.4 174.39 0.165 0.0110 109.42 0.0062  10.30 -1.72
 550.0  566.28  534.80    787.8 171.26 0.189 0.0326   0.66 0.0514  70.87 -1.75
