 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481042237.8 177.45 0.165 0.0087  32.04 0.0025   1.41 -0.41
   5.9  567.10  562.50 842104.0 178.40 0.187 0.0043 117.89 0.0012  50.04 -0.65
   8.4  567.06  562.53 637160.1 177.00 0.208 0.0013   3.75 0.0037  41.44 -0.89
  11.5  567.07  562.49 458326.2 176.26 0.210 0.0003  87.60 0.0062  47.41 -1.10
  15.5  567.08  562.51 323103.1 176.63 0.211 0.0009  13.74 0.0042  44.59 -1.24
  20.5  567.08  562.52 227420.3 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 158291.7 176.72 0.213 0.0007  46.99 0.0025  44.66 -1.47
  34.0  567.10  562.46 109662.4 176.90 0.214 0.0017  19.54 0.0039  47.30 -1.56
  42.8  567.00  562.46  77160.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.59
  53.1  566.97  562.38  54587.3 176.59 0.219 0.0016 107.25 0.0026  37.67 -1.66
  65.3  566.89  562.11  38594.3 176.72 0.216 0.0046 107.36 0.0015  43.86 -1.75
  79.5  567.00  562.15  27372.5 177.37 0.210 0.0038  20.80 0.0045  47.35 -1.81
  95.8  567.02  562.22  19579.8 177.35 0.208 0.0008  29.10 0.0043  47.42 -1.84
 114.5  567.10  562.38  14189.9 177.44 0.204 0.0040  69.66 0.0057  48.30 -1.85
 135.9  567.23  562.36  10396.0 177.41 0.198 0.0021 106.44 0.0038  46.55 -1.87
 160.1  567.30  562.42   7676.9 177.60 0.197 0.0006  32.67 0.0045  49.91 -1.93
 187.4  567.38  562.41   5639.4 177.16 0.195 0.0035  77.79 0.0025  79.96 -2.04
 218.1  567.61  562.29   4110.7 177.66 0.190 0.0093  95.37 0.0036  11.48 -2.14
 252.3  567.44  560.96   3013.6 177.73 0.186 0.0128  90.33 0.0037  60.89 -2.26
 290.5  568.00  560.98   2153.2 177.98 0.173 0.0200  78.58 0.0083  44.73 -2.42
 332.8  568.64  561.87   1571.2 177.80 0.178 0.0108  71.37 0.0102  58.06 -2.41
 379.7  569.88  560.74   1140.9 176.18 0.180 0.0160  76.09 0.0158  57.37 -2.67
 431.2  568.72  559.40    782.3 175.95 0.169 0.0141  82.72 0.0114  53.15 -3.07
 487.9  569.32  552.27    537.2 173.62 0.160 0.0107  82.49 0.0232  45.82 -3.07
 550.0  560.35  538.69    380.5 172.94 0.183 0.0766  14.58 0.0245  64.40 -3.65
