 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481042384.6 177.45 0.165 0.0087  32.04 0.0025   1.42 -0.41
   5.9  567.10  562.50 842255.2 178.40 0.187 0.0043 117.90 0.0012  50.04 -0.65
   8.4  567.06  562.53 637309.3 177.00 0.208 0.0013   3.76 0.0037  41.44 -0.89
  11.5  567.07  562.49 458476.5 176.26 0.210 0.0003  87.59 0.0062  47.42 -1.10
  15.5  567.08  562.51 323253.2 176.63 0.211 0.0009  13.74 0.0042  44.59 -1.23
  20.5  567.08  562.52 227570.3 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 158441.6 176.72 0.213 0.0007  46.99 0.0025  44.66 -1.47
  34.0  567.10  562.46 109812.4 176.90 0.214 0.0017  19.54 0.0039  47.30 -1.56
  42.8  567.00  562.46  77310.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.59
  53.1  566.97  562.38  54737.3 176.59 0.219 0.0016 107.25 0.0026  37.67 -1.66
  65.3  566.89  562.11  38744.3 176.72 0.216 0.0046 107.36 0.0015  43.86 -1.74
  79.5  567.00  562.15  27522.5 177.37 0.210 0.0038  20.80 0.0045  47.35 -1.80
  95.8  567.02  562.22  19729.9 177.35 0.208 0.0008  29.10 0.0043  47.42 -1.82
 114.5  567.09  562.43  14350.5 177.43 0.204 0.0044  69.15 0.0050  48.09 -1.83
 135.9  567.23  562.36  10546.0 177.42 0.198 0.0021 106.61 0.0038  46.37 -1.84
 160.1  567.30  562.42   7826.9 177.60 0.197 0.0006  32.67 0.0045  49.91 -1.89
 187.4  567.38  562.40   5790.0 177.18 0.195 0.0024  74.65 0.0024  64.25 -1.99
 218.1  567.62  562.20   4260.0 177.60 0.190 0.0085  94.85 0.0029   9.63 -2.07
 252.3  567.89  561.03   3159.7 178.00 0.187 0.0135  92.31 0.0035  58.15 -2.14
 290.5  567.78  560.67   2314.1 177.87 0.174 0.0166  76.10 0.0078  37.13 -2.24
 332.8  568.42  562.11   1721.8 178.02 0.177 0.0113  64.15 0.0168  47.74 -2.25
 379.7  569.43  559.70   1277.4 175.64 0.176 0.0107  66.78 0.0122  58.21 -2.41
 431.2  568.94  557.47    923.8 174.89 0.166 0.0099 107.54 0.0117  33.65 -2.45
 487.9  570.10  551.66    708.2 173.22 0.170 0.0183 100.43 0.0131   3.66 -2.39
 550.0  560.84  536.64    512.7 173.23 0.179 0.0729   6.96 0.0336  56.53 -3.38
