 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481043635.9 177.45 0.165 0.0087  32.04 0.0025   1.40 -0.41
   5.9  567.10  562.50 843505.4 178.40 0.187 0.0043 117.90 0.0012  50.04 -0.65
   8.4  567.06  562.53 638560.3 177.00 0.208 0.0013   3.75 0.0037  41.44 -0.89
  11.5  567.07  562.49 459726.3 176.26 0.210 0.0003  87.60 0.0061  47.41 -1.09
  15.5  567.08  562.51 324503.1 176.63 0.211 0.0009  13.74 0.0042  44.59 -1.23
  20.5  567.08  562.52 228820.3 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 159691.6 176.72 0.213 0.0007  46.99 0.0025  44.66 -1.46
  34.0  567.10  562.46 111062.4 176.90 0.214 0.0016  19.54 0.0039  47.30 -1.54
  42.8  567.00  562.46  78560.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.56
  53.1  566.97  562.38  55987.4 176.59 0.219 0.0016 107.25 0.0025  37.67 -1.62
  65.3  566.89  562.11  39994.3 176.72 0.216 0.0045 107.36 0.0014  43.87 -1.69
  79.5  567.00  562.15  28772.6 177.37 0.210 0.0037  20.80 0.0043  47.35 -1.72
  95.8  567.02  562.22  20979.9 177.35 0.208 0.0008  29.10 0.0040  47.42 -1.72
 114.5  567.09  562.43  15600.7 177.42 0.204 0.0041  69.07 0.0046  48.01 -1.68
 135.9  567.24  562.38  11785.9 177.49 0.198 0.0018 108.09 0.0035  44.97 -1.65
 160.1  567.29  562.41   9079.8 177.53 0.198 0.0013  32.03 0.0039  50.68 -1.63
 187.4  567.38  562.35   7034.9 177.02 0.195 0.0018  74.41 0.0014  69.98 -1.64
 218.1  567.50  562.19   5508.9 177.80 0.189 0.0057  92.84 0.0022   9.96 -1.60
 252.3  567.44  560.92   4412.6 177.71 0.186 0.0088  90.65 0.0026  59.85 -1.55
 290.5  568.00  560.76   3551.2 178.07 0.173 0.0109  83.13 0.0042  47.09 -1.47
 332.8  569.17  560.96   2963.3 177.16 0.178 0.0067  72.70 0.0078  50.40 -1.30
 379.7  569.35  561.29   2522.6 176.16 0.174 0.0039  69.36 0.0050  55.01 -1.17
 431.2  567.33  558.35   2195.3 175.13 0.177 0.0008  36.86 0.0041  54.93 -1.02
 487.9  569.03  555.34   1961.2 174.06 0.180 0.0014 106.02 0.0028  86.84 -0.85
 550.0  562.85  545.57   1790.3 174.07 0.202 0.0091  17.06 0.0131  72.70 -0.85
