 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  560.99 111741.7  45.76 0.106 0.0131  12.86 0.0043  15.27 -0.87
  40.3  562.80  560.52  78366.5  48.28 0.144 0.0070  14.38 0.0085   3.76 -1.28
  53.0  562.59  560.38  54612.4  46.57 0.193 0.0008  42.79 0.0250  87.11 -1.33
  68.5  562.59  560.29  39715.6  44.40 0.265 0.0020   0.14 0.0471  87.58 -1.21
  87.1  562.76  560.09  30698.6  42.91 0.349 0.0016  15.32 0.0819  86.85 -1.34
 109.4  562.62  559.85  20436.2  43.65 0.377 0.0033   7.80 0.0368  85.83 -2.27
 135.7  562.52  559.47  10116.0  54.36 0.240 0.0057  81.21 0.0098  52.20 -3.24
 166.4  563.07  558.76   6663.1  68.46 0.216 0.0128  65.24 0.0107  36.41 -2.12
 202.1  562.37  559.35   4470.9  79.21 0.195 0.0038  14.48 0.0175  32.30 -2.11
 243.2  559.52  561.89   3072.8  85.34 0.202 0.0517   2.75 0.0150  30.44 -2.33
 290.3  562.79  561.40   1873.0  81.48 0.177 0.0485  13.35 0.0073  48.43 -3.14
 344.0  563.32  554.79   1029.7  76.33 0.167 0.0511  22.36 0.0030  26.61 -4.00
 404.7  567.54  549.04    504.5  81.49 0.139 0.0276  43.93 0.0232  30.21 -2.00
 473.242898.1419475.02********* 123.81 0.988 0.0000  60.28 0.0000  14.19 -2.00
 550.0 -901.58 -667.54********* 152.00 0.941 0.0000   0.00 0.0000   0.00******
