 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  560.99 111826.9  45.76 0.106 0.0133  12.84 0.0045  16.12 -0.87
  40.3  562.80  560.52  78466.9  48.27 0.144 0.0070  14.37 0.0085   3.76 -1.28
  53.0  562.59  560.38  54696.7  46.48 0.192 0.0009  40.29 0.0251  87.06 -1.33
  68.5  562.60  560.29  39817.6  44.43 0.265 0.0020   0.60 0.0470  87.60 -1.21
  87.1  562.61  559.96  30641.1  44.01 0.313 0.0018  24.25 0.0657  81.59 -2.22
 109.4  559.67  565.03   7810.9 119.50 0.008 0.0431  58.45 0.1716  81.64 -7.98
 135.7  493.40  948.90   2992.8  31.62 0.768 0.0530  28.00 0.0464  35.38 -0.83
 166.4  563.11  558.74   6763.5  68.51 0.216 0.0126  66.22 0.0103  35.56 -2.00
 202.1  562.38  559.35   4570.5  79.18 0.195 0.0039  12.84 0.0172  32.54 -2.07
 243.2  559.56  561.81   3170.4  85.04 0.201 0.0517   3.49 0.0143  33.15 -2.24
 290.3  562.11  561.49   1995.7  80.72 0.177 0.0457  14.12 0.0089  44.05 -2.97
 344.0  563.12  554.99   1110.0  76.94 0.161 0.0452  20.09 0.0013  78.22 -3.72
 404.7  567.05  549.91    623.3  78.60 0.153 0.0256  20.87 0.0161  32.37 -4.12
 473.2  556.08  550.75    289.4  83.28 0.137 0.0811   8.29 0.0200   6.77 -6.64
 550.0  565.11  547.94     33.1  22.09 0.011 0.2891  76.42 0.2726   9.25-55.42
