 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  560.99 111927.4  45.76 0.106 0.0133  12.84 0.0045  16.12 -0.87
  40.3  562.80  560.52  78566.8  48.27 0.144 0.0070  14.37 0.0085   3.76 -1.27
  53.0  562.59  560.38  54804.1  46.51 0.192 0.0008  40.55 0.0249  87.12 -1.32
  68.5  562.69  560.18  40026.8  44.38 0.269 0.0025   7.45 0.0431  87.73 -2.03
  87.1  562.34  559.92  14325.9  65.13 0.184 0.0028  36.28 0.0916  21.61 -3.19
 109.4  551.22  567.41  18564.1  43.45 0.946 0.0450  60.88 0.2306  89.90 -0.48
 135.7  562.60  559.60  10364.7  52.86 0.259 0.0034   7.11 0.0155  45.18 -2.69
 166.4  563.13  558.71   6862.2  68.50 0.215 0.0127  66.38 0.0104  36.15 -2.08
 202.1  562.40  559.34   4671.9  79.20 0.195 0.0039  12.60 0.0167  32.42 -2.02
 243.2  559.38  562.02   3267.3  85.22 0.201 0.0463   2.70 0.0158  30.60 -2.19
 290.3  562.78  561.62   2079.5  81.30 0.177 0.0458  15.43 0.0084  51.51 -2.85
 344.0  562.75  554.27   1207.1  76.86 0.157 0.0419  19.16 0.0008  82.36 -3.38
 404.7  567.88  549.51    723.8  80.00 0.158 0.0178  18.79 0.0219  36.89 -3.53
 473.2  557.66  549.85    390.2  82.64 0.142 0.0507  13.69 0.0264  70.52 -4.53
 550.0  556.52  552.09    180.9  75.45 0.098 0.0656  13.97 0.0092  27.53 -8.28
