 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  560.99 112027.8  45.76 0.106 0.0133  12.84 0.0044  16.12 -0.87
  40.3  562.80  560.52  78666.8  48.27 0.144 0.0070  14.37 0.0085   3.76 -1.27
  53.0  562.59  560.38  54904.1  46.51 0.192 0.0008  40.55 0.0249  87.12 -1.32
  68.5  562.60  560.29  40017.9  44.43 0.265 0.0020   0.74 0.0467  87.60 -1.19
  87.1  562.71  560.07  31074.0  43.07 0.362 0.0025  24.02 0.0762  86.41 -1.32
 109.4  562.61  559.80  20743.8  43.63 0.378 0.0024   4.39 0.0348  85.82 -2.24
 135.7  562.74  559.62  10459.7  52.80 0.259 0.0037   0.23 0.0146  44.96 -3.14
 166.4  563.14  558.72   6962.2  68.49 0.215 0.0124  66.55 0.0103  35.96 -2.05
 202.1  562.36  559.33   4768.5  79.19 0.195 0.0030  16.48 0.0168  32.87 -1.98
 243.2  559.50  561.92   3372.1  85.32 0.201 0.0470   2.64 0.0138  30.44 -2.12
 290.3  562.85  561.67   2172.5  81.32 0.175 0.0398  14.51 0.0072  50.81 -2.73
 344.0  563.17  555.52   1314.4  76.55 0.159 0.0324  22.78 0.0028  15.78 -3.11
 404.7  567.49  549.63    814.7  79.10 0.154 0.0180   3.00 0.0157  39.26 -3.19
 473.2  556.00  553.14    483.4  81.60 0.130 0.0452  12.57 0.0199  31.96 -3.44
 550.0  560.27  551.68    304.7  77.80 0.113 0.0280  40.79 0.0537  10.40 -4.20
