 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  560.99 112441.5  45.75 0.105 0.0130  12.85 0.0042  15.24 -0.87
  40.3  562.80  560.52  79066.8  48.27 0.144 0.0070  14.37 0.0084   3.76 -1.27
  53.0  562.59  560.38  55304.2  46.51 0.192 0.0008  40.55 0.0247  87.12 -1.31
  68.5  562.60  560.29  40417.9  44.43 0.265 0.0019   0.59 0.0462  87.60 -1.18
  87.1  562.67  560.09  31473.9  43.17 0.365 0.0017  29.54 0.0749  86.53 -1.30
 109.4  562.70  559.85  21158.7  43.44 0.380 0.0052  10.44 0.0335  87.72 -2.20
 135.7  562.72  559.62  10868.2  50.48 0.280 0.0026   6.21 0.0213  38.68 -3.02
 166.4  563.13  558.71   7362.4  68.47 0.215 0.0117  66.41 0.0097  36.00 -1.94
 202.1  562.38  559.34   5170.7  79.18 0.195 0.0034  12.88 0.0152  32.54 -1.83
 243.2  559.36  561.94   3773.0  84.97 0.202 0.0400   2.88 0.0149  31.29 -1.89
 290.3  562.64  561.61   2583.5  81.40 0.176 0.0387  15.38 0.0063  49.69 -2.29
 344.0  563.24  555.37   1719.4  77.01 0.161 0.0271  23.45 0.0030  78.23 -2.39
 404.7  565.99  549.58   1216.8  77.57 0.151 0.0089  19.83 0.0029  32.70 -2.14
 473.2  556.05  551.48    889.0  82.62 0.135 0.0229   6.80 0.0084  30.93 -1.90
 550.0  559.09  552.15    699.3  76.37 0.114 0.0025 108.44 0.0041   4.41 -1.94
