 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  560.99 112139.3  45.76 0.105 0.0131  12.85 0.0043  15.29 -0.87
  40.3  562.80  560.52  78766.8  48.27 0.144 0.0070  14.37 0.0085   3.76 -1.27
  53.0  562.59  560.38  55003.9  46.51 0.192 0.0008  40.49 0.0248  87.12 -1.32
  68.5  562.59  560.29  40117.0  44.40 0.265 0.0019   0.98 0.0466  87.58 -1.19
  87.1  562.71  560.07  31140.1  43.03 0.356 0.0022  19.52 0.0777  86.66 -1.84
 109.4  562.26  559.99  13144.2 153.86 0.060 0.0051  20.12 0.1288  37.59 -3.53
 135.7  562.67  559.73  10578.8  51.89 0.267 0.0029 118.11 0.0184  43.52 -1.37
 166.4  563.14  558.75   7056.1  68.27 0.215 0.0103  67.86 0.0104  34.76 -2.03
 202.1  562.36  559.34   4868.7  79.21 0.195 0.0032  16.15 0.0163  32.71 -1.94
 243.2  559.40  561.87   3469.6  84.87 0.201 0.0432   2.70 0.0139  31.76 -2.06
 290.3  562.64  561.27   2280.9  81.21 0.177 0.0411  12.68 0.0117  46.09 -2.60
 344.0  563.15  555.37   1414.0  76.68 0.159 0.0317  22.96 0.0034   8.54 -2.93
 404.7  566.80  549.99    900.7  80.14 0.149 0.0179  24.39 0.0110  44.61 -2.89
 473.2  555.54  550.80    583.1  84.73 0.129 0.0417   7.19 0.0023  60.48 -2.68
 550.0  559.23  550.61    420.2  79.61 0.123 0.0148  85.17 0.0391  27.99 -2.78
