 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  561.00 112935.2  45.74 0.106 0.0132  12.84 0.0044  16.00 -0.86
  40.3  562.80  560.52  79566.9  48.27 0.144 0.0069  14.37 0.0084   3.76 -1.26
  53.0  562.59  560.38  55804.0  46.51 0.192 0.0008  40.40 0.0245  87.12 -1.30
  68.5  562.60  560.29  40918.3  44.43 0.265 0.0019   0.63 0.0457  87.61 -1.17
  87.1  562.71  560.07  31943.0  43.04 0.356 0.0023  19.88 0.0756  86.67 -1.29
 109.4  562.62  559.85  21636.1  43.65 0.377 0.0031   7.38 0.0346  85.80 -2.14
 135.7  562.67  559.59  11372.4  52.15 0.266 0.0029 117.10 0.0172  43.85 -2.88
 166.4  563.20  558.70   7866.5  68.61 0.216 0.0111  65.54 0.0108  34.13 -1.82
 202.1  562.38  559.36   5669.1  79.11 0.195 0.0028  11.53 0.0138  32.72 -1.67
 243.2  559.31  561.84   4273.3  84.95 0.202 0.0353   3.13 0.0119  31.71 -1.67
 290.3  562.64  561.43   3083.5  81.29 0.177 0.0308  15.61 0.0046  47.50 -1.92
 344.0  563.21  555.33   2218.4  77.10 0.160 0.0211  21.62 0.0007  71.44 -1.85
 404.7  567.06  549.81   1716.6  78.65 0.149 0.0044  10.68 0.0084  44.06 -1.51
 473.2  557.73  552.64   1392.7  83.07 0.137 0.0107   0.48 0.0014  24.74 -1.18
 550.0  559.22  551.79   1212.3  77.81 0.142 0.0081  99.79 0.0082  43.91 -1.07
