 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  561.00 112236.1  45.74 0.106 0.0132  12.84 0.0044  16.02 -0.87
  40.3  562.80  560.52  78866.8  48.27 0.144 0.0070  14.37 0.0085   3.76 -1.27
  53.0  562.59  560.38  55104.3  46.52 0.192 0.0008  40.59 0.0248  87.12 -1.32
  68.5  562.60  560.29  40217.9  44.43 0.265 0.0019   0.59 0.0465  87.61 -1.19
  87.1  562.74  560.04  31220.3  43.02 0.354 0.0021  23.05 0.0790  86.76 -1.33
 109.4  563.47  560.01  20725.6  43.19 0.378 0.0060 117.39 0.0405  88.59 -2.24
 135.7  562.71  559.60  10672.4  52.05 0.266 0.0026 116.85 0.0182  43.55 -3.03
 166.4  563.14  558.75   7156.2  68.27 0.215 0.0102  67.85 0.0102  34.77 -2.00
 202.1  562.39  559.34   4972.0  79.20 0.195 0.0036  12.76 0.0157  32.41 -1.90
 243.2  559.47  561.90   3566.6  84.97 0.201 0.0409   2.70 0.0138  32.00 -2.00
 290.3  562.59  561.56   2385.6  81.44 0.178 0.0395  14.91 0.0061  47.18 -2.48
 344.0  563.05  555.41   1515.1  76.65 0.159 0.0285  23.01 0.0016  86.97 -2.72
 404.7  566.62  550.86   1015.5  78.38 0.153 0.0152  13.50 0.0192  39.31 -2.55
 473.2  557.23  552.72    689.7  81.09 0.134 0.0283  12.29 0.0058  36.56 -2.45
 550.0  555.52  548.62    497.7  78.40 0.126 0.0162  48.46 0.0020  86.60 -2.76
