 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
  30.0  562.90  561.00 112335.9  45.74 0.106 0.0132  12.84 0.0044  16.00 -0.87
  40.3  562.80  560.52  78966.8  48.27 0.144 0.0070  14.37 0.0085   3.76 -1.27
  53.0  562.59  560.38  55204.1  46.51 0.192 0.0008  40.51 0.0247  87.12 -1.32
  68.5  562.60  560.29  40317.9  44.43 0.265 0.0019   0.59 0.0464  87.60 -1.19
  87.1  562.72  560.05  31338.7  43.05 0.356 0.0025  22.48 0.0770  86.64 -1.41
 109.4  563.47  559.47  19635.7  46.21 0.265 0.0127   3.66 0.0782  83.24 -2.35
 135.7  561.71  561.67  10837.3  49.18 0.261 0.0068  96.47 0.0232  42.87 -2.72
 166.4  563.14  558.75   7256.3  68.27 0.215 0.0101  67.83 0.0101  34.79 -1.99
 202.1  562.30  559.34   5069.3  79.08 0.195 0.0025   7.71 0.0166  32.90 -1.86
 243.2  559.41  561.81   3672.7  84.87 0.202 0.0415   2.71 0.0127  31.72 -1.95
 290.3  562.97  561.66   2475.1  81.30 0.176 0.0357  14.65 0.0068  49.68 -2.39
 344.0  563.16  555.31   1618.1  77.22 0.161 0.0290  22.47 0.0024  78.18 -2.53
 404.7  566.45  549.46   1115.1  79.89 0.148 0.0102  17.72 0.0082  37.36 -2.33
 473.2  557.81  552.02    789.0  82.81 0.137 0.0230   9.71 0.0087  25.93 -2.01
 550.0  564.20  551.41    627.5  80.11 0.139 0.0230  52.77 0.0160  10.36 -1.84
